domain,registration,renewal,icann_fee,transfer,average,length,cost_score,domains,share
.pet,43.96,146.55,1.42,146.55,95.255,3,285.765,48262,0.0060%
.eco,421.31,421.31,1.42,421.31,421.31,3,1263.93,12543,0.0016%
.bar,14.86,365.31,1.42,365.31,190.085,3,570.255,75851,0.0094%
.run,18.33,153.91,1.42,153.91,86.12,3,258.36,175106,0.0217%
.mom,7.36,182.65,1.42,182.65,95.005,3,285.015,99937,0.0124%
.bet,54.94,146.55,1.42,146.55,100.745,3,302.235,170694,0.0212%
.fyi,36.67,36.67,1.42,36.67,36.67,3,110.01,168949,0.0210%
.com,62.86,70.65,1.42,67.11,66.755,3,200.265,302390728,37.4978%
.dog,36.67,366.38,1.42,366.38,201.525,3,604.575,39327,0.0049%
.soy,131.54,131.54,1.42,131.54,131.54,3,394.62,3808,0.0005%
.new,2916.87,2916.87,1.42,2916.87,2916.87,3,8750.61,3116,0.0004%
.phd,146.12,146.12,1.42,146.12,146.12,3,438.36,2833,0.0004%
.esq,146.12,146.12,1.42,146.12,146.12,3,438.36,2774,0.0003%
.you,70.65,128.21,1.42,128.21,99.43,3,298.29,2373,0.0003%
.hiv,1307.64,1307.64,1.42,1307.64,1307.64,3,3922.92,722,0.0001%
.hot,91.89,293.1,1.42,293.1,192.495,3,577.485,647,0.0001%
.car,13189.66,14612.7,1.42,14612.7,13901.18,3,41703.54,381,0.0000%
.bond,5.45,87.93,1.42,87.93,46.69,4,186.76,1518760,0.1883%
.asia,13.16,80.63,1.42,80.63,46.895,4,187.58,995327,0.1234%
.link,14.65,51.32,1.42,51.32,32.985,4,131.94,942111,0.1168%
.mobi,25.62,219.82,1.42,219.82,122.72,4,490.88,900766,0.1117%
.tech,51.11,329.77,1.42,329.77,190.44,4,761.76,690815,0.0857%
.cyou,4.53,87.93,1.42,87.93,46.23,4,184.92,559335,0.0694%
.blog,10.97,141.45,1.42,141.45,76.21,4,304.84,464977,0.0577%
.page,36.67,73.27,1.42,73.27,54.97,4,219.88,386551,0.0479%
.immo,197.88,197.88,1.42,197.88,197.88,4,791.52,38242,0.0047%
.skin,7.36,88.64,1.42,88.64,48,4,192,283179,0.0351%
.fish,256.5,256.5,1.42,256.5,256.5,4,1026,11252,0.0014%
.golf,29.31,366.38,1.42,366.38,197.845,4,791.38,37328,0.0046%
.date,29.16,36.46,1.42,29.16,32.81,4,131.24,201366,0.0250%
.news,54.94,183.22,1.42,183.22,119.08,4,476.32,192174,0.0238%
.fans,58.48,58.48,1.42,57.34,58.48,4,233.92,11878,0.0015%
.toys,73.27,366.38,1.42,366.38,219.825,4,879.3,12800,0.0016%
.wiki,10.97,146.55,1.42,146.55,78.76,4,315.04,173420,0.0215%
.help,14.86,183.22,1.42,183.22,99.04,4,396.16,165585,0.0205%
.rest,7.43,182.65,1.42,176.28,95.04,4,380.16,157558,0.0195%
.guru,14.65,241.84,1.42,241.84,128.245,4,512.98,155614,0.0193%
.army,84.25,219.82,1.42,219.82,152.035,4,608.14,13175,0.0016%
.pics,7.36,183.22,1.42,183.22,95.29,4,381.16,145433,0.0180%
.casa,7.36,73.27,1.42,73.27,40.315,4,161.26,144743,0.0179%
.zone,54.94,219.82,1.42,219.82,137.38,4,549.52,143860,0.0178%
.luxe,109.95,109.95,1.42,109.95,109.95,4,439.8,22057,0.0027%
.love,161.2,161.2,1.42,161.2,161.2,4,644.8,134589,0.0167%
.wine,36.67,337.07,1.42,337.07,186.87,4,747.48,36068,0.0045%
.team,29.31,205.17,1.42,205.17,117.24,4,468.96,113102,0.0140%
.lgbt,51.32,454.31,1.42,454.31,252.815,4,1011.26,22185,0.0028%
.beer,7.36,175.86,1.42,175.86,91.61,4,366.44,102594,0.0127%
.yoga,175.86,175.86,1.42,175.86,175.86,4,703.44,91506,0.0113%
.best,22.58,110.3,1.42,110.3,66.44,4,265.76,90911,0.0113%
.vote,146.55,512.93,1.42,512.93,329.74,4,1318.96,14125,0.0018%
.city,29.31,161.2,1.42,161.2,95.255,4,381.02,82803,0.0103%
.host,63.64,549.6,1.42,549.6,306.62,4,1226.48,34917,0.0043%
.chat,36.67,256.5,1.42,256.5,146.585,4,586.34,80665,0.0100%
.care,69.59,249.13,1.42,249.13,159.36,4,637.44,79059,0.0098%
.life,14.65,205.17,1.42,205.17,109.91,4,439.64,1177259,0.1460%
.taxi,40.28,351.72,1.42,351.72,196,4,784,16005,0.0020%
.porn,73.27,696.15,1.42,696.15,384.71,4,1538.84,16223,0.0020%
.plus,29.31,307.75,1.42,307.75,168.53,4,674.12,71963,0.0089%
.baby,7.36,365.31,1.42,365.31,186.335,4,745.34,70744,0.0088%
.hair,7.36,88.64,1.42,88.64,48,4,192,68389,0.0085%
.cool,36.67,256.5,1.42,256.5,146.585,4,586.34,66882,0.0083%
.camp,351.72,351.72,1.42,351.72,351.72,4,1406.88,17493,0.0022%
.sale,36.67,219.82,1.42,219.82,128.245,4,512.98,64449,0.0080%
.haus,73.27,190.51,1.42,190.51,131.89,4,527.56,17766,0.0022%
.tips,80.63,175.86,1.42,175.86,128.245,4,512.98,57160,0.0071%
.rent,35.39,366.38,1.42,366.38,200.885,4,803.54,25884,0.0032%
.farm,43.96,219.82,1.42,219.82,131.89,4,527.56,54953,0.0068%
.cash,36.67,219.82,1.42,219.82,128.245,4,512.98,53345,0.0066%
.fund,73.27,403.05,1.42,403.05,238.16,4,952.64,51748,0.0064%
.cafe,36.67,293.1,1.42,293.1,164.885,4,659.54,51748,0.0064%
.land,54.94,234.48,1.42,234.48,144.71,4,578.84,50674,0.0063%
.pink,40.28,146.55,1.42,146.55,93.415,4,373.66,47277,0.0059%
.gmbh,256.5,256.5,1.42,256.5,256.5,4,1026,47207,0.0059%
.surf,7.36,175.86,1.42,175.86,91.61,4,366.44,29361,0.0036%
.town,43.96,205.17,1.42,205.17,124.565,4,498.26,44056,0.0055%
.blue,80.63,139.26,1.42,139.26,109.945,4,439.78,43829,0.0054%
.show,98.9,249.13,1.42,249.13,174.015,4,696.06,42844,0.0053%
.food,29.38,219.82,1.42,219.82,124.6,4,498.4,21649,0.0027%
.band,109.95,175.86,1.42,175.86,142.905,4,571.62,41640,0.0052%
.bike,29.31,219.82,1.42,219.82,124.565,4,498.26,40545,0.0050%
.gold,36.67,586.2,1.42,586.2,311.435,4,1245.74,40266,0.0050%
.voto,73.27,394.55,1.42,394.55,233.91,4,935.64,10557,0.0013%
.game,2043.51,2191.9,1.42,2191.9,2117.705,4,8470.82,10421,0.0013%
.fail,219.82,219.82,1.42,219.82,219.82,4,879.28,10389,0.0013%
.meme,73.27,73.27,1.42,73.27,73.27,4,293.08,9853,0.0012%
.moda,234.48,234.48,1.42,234.48,234.48,4,937.92,8644,0.0011%
.kids,65.98,131.89,1.42,131.89,98.935,4,395.74,7906,0.0010%
.limo,307.75,307.75,1.42,307.75,307.75,4,1231,5430,0.0007%
.rsvp,36.67,73.27,1.42,73.27,54.97,4,219.88,4468,0.0006%
.diet,659.48,730.63,1.42,730.63,695.055,4,2780.22,4033,0.0005%
.info,18.33,139.26,1.42,139.26,78.795,4,315.18,11732849,1.4549%
.navy,234.48,234.48,1.42,234.48,234.48,4,937.92,3364,0.0004%
